,mitre name,mitre alias,malpedia name,malpedia alias,attack techniques,technique name,attack software,malpedia techniques,malpedia software,normalized mitre software,normalized malpedia software,software union,software overlap,mitre software ids,software union canonical
G0053,fin5,[],fin5,['g0053'],"['T1119', 'T1110', 'T1070.001', 'T1059', 'T1090.002', 'T1133', 'T1070.004', 'T1074.001', 'T1018', 'T1588.002', 'T1078']","['Automated Collection', 'Brute Force', 'Clear Windows Event Logs', 'Command and Scripting Interpreter', 'External Proxy', 'External Remote Services', 'File Deletion', 'Local Data Staging', 'Remote System Discovery', 'Tool', 'Valid Accounts']","['S0173', 'S0029', 'S0169', 'S0195', 'S0005', 'S0006']","['T1018', 'T1059', 'T1070', 'T1074', 'T1078', 'T1090', 'T1110', 'T1119', 'T1133', 'T1588']",[],"['flipside', 'psexec', 'pwdump', 'rawpos', 'sdelete', 'windows credential editor']",[],"['S0005', 'S0006', 'S0029', 'S0169', 'S0173', 'S0195']",[],"['S0005', 'S0006', 'S0029', 'S0169', 'S0173', 'S0195']","['flipside', 'psexec', 'pwdump', 'rawpos', 'sdelete', 'windows credential editor']"
G0083,silverterrier,[],silverterrier,[],"['T1071.002', 'T1657', 'T1071.003', 'T1071.001']","['File Transfer Protocols', 'Financial Theft', 'Mail Protocols', 'Web Protocols']","['S0331', 'S0334', 'S0447', 'S0198', 'S0336']",[],[],"['agent tesla', 'darkcomet', 'lokibot', 'nanocore', 'netwire']",[],"['S0198', 'S0331', 'S0334', 'S0336', 'S0447']",[],"['S0198', 'S0331', 'S0334', 'S0336', 'S0447']","['agent tesla', 'darkcomet', 'lokibot', 'nanocore', 'netwire']"
G0038,stealth falcon,[],stealth falcon,"['fruityarmor', 'g0038']","['T1059', 'T1555', 'T1555.003', 'T1005', 'T1041', 'T1059.001', 'T1057', 'T1012', 'T1053.005', 'T1573.001', 'T1082', 'T1016', 'T1033', 'T1071.001', 'T1555.004', 'T1047']","['Command and Scripting Interpreter', 'Credentials from Password Stores', 'Credentials from Web Browsers', 'Data from Local System', 'Exfiltration Over C2 Channel', 'PowerShell', 'Process Discovery', 'Query Registry', 'Scheduled Task', 'Symmetric Cryptography', 'System Information Discovery', 'System Network Configuration Discovery', 'System Owner/User Discovery', 'Web Protocols', 'Windows Credential Manager', 'Windows Management Instrumentation']",[],"['T1005', 'T1012', 'T1016', 'T1033', 'T1041', 'T1047', 'T1053', 'T1057', 'T1059', 'T1071', 'T1082', 'T1555', 'T1573']",[],[],[],[],[],[],[]
G0131,tonto,"['bronze huntley', 'cactuspete', 'earth akhlut', 'karma panda']",tonto,"['cactuspete', 'karma panda', 'bronze huntley', 'copper', 'red beifang', 'g0131', 'pla unit 65017', 'earth akhlut', 'tag-74']","['T1574.001', 'T1203', 'T1068', 'T1210', 'T1090.002', 'T1105', 'T1056.001', 'T1069.001', 'T1204.002', 'T1135', 'T1003', 'T1059.001', 'T1059.006', 'T1566.001', 'T1505.003', 'T1595', 'T1587.004', 'T1190']","['DLL Search Order Hijacking', 'Exploitation for Client Execution', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services', 'External Proxy', 'Ingress Tool Transfer', 'Keylogging', 'Local Groups', 'Malicious File', 'Network Share Discovery', 'OS Credential Dumping', 'PowerShell', 'Python', 'Spearphishing Attachment', 'Web Shell']","['S0268', 'S0349', 'S0002', 'S0590', 'S0596', 'S0008']","['T1041', 'T1059.005', 'T1071.001', 'T1132.001', 'T1204.002', 'T1218.001', 'T1480', 'T1518.001', 'T1547.001', 'T1566.001', 'T1573.001', 'T1574.001']","['win.8t_dropper', 'win.byeby']","['bisonal', 'gsecdump', 'lazagne', 'mimikatz', 'nbtscan', 'shadowpad']","['8t dropper', 'byeby']","['8t dropper', 'S0002', 'S0008', 'S0268', 'S0349', 'S0590', 'S0596', 'byeby']",[],"['S0002', 'S0008', 'S0268', 'S0349', 'S0590', 'S0596']","['8t dropper', 'bisonal', 'byeby', 'gsecdump', 'lazagne', 'mimikatz', 'nbtscan', 'shadowpad']"
G1019,moustachedbouncer,[],moustachedbouncer,[],"['T1659', 'T1068', 'T1059.007', 'T1059.001', 'T1090', 'T1074.002', 'T1113', 'T1027.002', 'T1655.001', 'T1005', 'T1041', 'T1025', 'T1590.005', 'T1189', 'T1543.003', 'T1071.004', 'T1123', 'T1204.002', 'T1573.001', 'T1140', 'T1071.002', 'T1132.001', 'T1132.002', 'T1053.005', 'T1056.001', 'T1071.003', 'T1565.002', 'T1557']","['Content Injection', 'Exploitation for Privilege Escalation', 'JavaScript', 'PowerShell', 'Proxy', 'Remote Data Staging', 'Screen Capture', 'Software Packing', 'Match Legitimate Name or Location']","['S1088', 'S1090', 'S1089']","['T1005', 'T1025', 'T1041', 'T1053.005', 'T1056.001', 'T1068', 'T1071.002', 'T1071.003', 'T1071.004', 'T1113', 'T1123', 'T1132.001', 'T1132.002', 'T1140', 'T1189', 'T1204.002', 'T1543.003', 'T1557', 'T1565.002', 'T1573.001', 'T1590.005']",['win.nightclub'],"['disco', 'nightclub', 'sharpdisco']",['S1090'],"['S1088', 'S1089', 'S1090']",['S1090'],"['S1088', 'S1089', 'S1090']","['disco', 'nightclub', 'sharpdisco']"
G0040,patchwork,"['chinastrats', 'dropping elephant', 'hangover', 'monsoon', 'operation hangover']",quilted tiger,"['chinastrats', 'patchwork', 'monsoon', 'sarit', 'dropping elephant', 'apt-c-09', 'zinc emerson', 'atk11', 'g0040', 'orange athos', 'thirsty gemini']","['T1560', 'T1119', 'T1197', 'T1027.001', 'T1548.002', 'T1553.002', 'T1587.002', 'T1027.010', 'T1555.003', 'T1574.002', 'T1005', 'T1102.001', 'T1189', 'T1559.002', 'T1203', 'T1070.004', 'T1083', 'T1027.005', 'T1105', 'T1074.001', 'T1204.002', 'T1204.001', 'T1036.005', 'T1112', 'T1059.001', 'T1055.012', 'T1547.001', 'T1021.001', 'T1053.005', 'T1518.001', 'T1027.002', 'T1566.001', 'T1566.002', 'T1598.003', 'T1132.001', 'T1082', 'T1033', 'T1588.002', 'T1059.005', 'T1059.003', 'T1071', 'T1116', 'T1064', 'T1345', 'T1140', 'T1158', 'T1027', 'T1346', 'T1247', 'T1362', 'T1053', 'T1043', 'T1032', 'T1192', 'T1312', 'T1204', 'T1249']","['Archive Collected Data', 'Automated Collection', 'BITS Jobs', 'Binary Padding', 'Bypass User Account Control', 'Code Signing', 'Code Signing Certificates', 'Command Obfuscation', 'Credentials from Web Browsers', 'DLL Side-Loading', 'Data from Local System', 'Dead Drop Resolver', 'Drive-by Compromise', 'Dynamic Data Exchange', 'Exploitation for Client Execution', 'File Deletion', 'File and Directory Discovery', 'Indicator Removal from Tools', 'Ingress Tool Transfer', 'Local Data Staging', 'Malicious File', 'Malicious Link', 'Match Legitimate Name or Location', 'Modify Registry', 'PowerShell', 'Process Hollowing', 'Registry Run Keys / Startup Folder', 'Remote Desktop Protocol', 'Scheduled Task', 'Security Software Discovery', 'Software Packing', 'Spearphishing Attachment', 'Spearphishing Link', 'Standard Encoding', 'System Information Discovery', 'System Owner/User Discovery', 'Tool', 'Visual Basic', 'Windows Command Shell']","['S0129', 'S0128', 'S0475', 'S0272', 'S0194', 'S0262', 'S0131', 'S0130']","['T1005', 'T1021', 'T1027', 'T1033', 'T1036', 'T1053', 'T1055', 'T1059', 'T1070', 'T1074', 'T1082', 'T1083', 'T1102', 'T1105', 'T1112', 'T1119', 'T1132', 'T1189', 'T1197', 'T1203', 'T1204', 'T1518', 'T1547', 'T1548', 'T1553', 'T1555', 'T1559', 'T1560', 'T1566', 'T1574', 'T1587', 'T1588']","['win.badnews', 'win.spyder_patchwork']","['autoit backdoor', 'backconfig', 'badnews', 'ndiskmonitor', 'powersploit', 'quasar rat', 'tinytyphon', 'unknown logger']","['S0128', 'spyder patchwork']","['S0128', 'S0129', 'S0130', 'S0131', 'S0194', 'S0262', 'S0272', 'S0475', 'spyder patchwork']",['S0128'],"['S0128', 'S0129', 'S0130', 'S0131', 'S0194', 'S0262', 'S0272', 'S0475']","['autoit backdoor', 'backconfig', 'badnews', 'ndiskmonitor', 'powersploit', 'quasar rat', 'spyder patchwork', 'tinytyphon', 'unknown logger']"
G0133,nomadic octopus,['dustsquad'],dustsquad,['nomadic octopus'],"['T1564.003', 'T1105', 'T1204.002', 'T1036', 'T1059.001', 'T1566.001', 'T1059.003']","['Hidden Window', 'Ingress Tool Transfer', 'Malicious File', 'Masquerading', 'PowerShell', 'Spearphishing Attachment', 'Windows Command Shell']",['S0340'],[],[],['octopus'],[],['S0340'],[],['S0340'],['octopus']
G0004,ke3chang,"['apt15', 'gref', 'mirage', 'nickel', 'nylon typhoon', 'playful dragon', 'royalapt', 'vixen panda']",apt15,"['vixen panda', 'ke3chang', 'playful dragon', 'metushy', 'lurid', 'social network', 'royal apt', 'bronze palace', 'bronze davenport', 'bronze idlewood', 'nickel', 'g0004', 'red vulture', 'nylon typhoon', 'mirage']","['T1560', 'T1560.001', 'T1119', 'T1020', 'T1078.004', 'T1059', 'T1071.004', 'T1005', 'T1140', 'T1087.002', 'T1069.002', 'T1041', 'T1190', 'T1133', 'T1083', 'T1558.001', 'T1105', 'T1056.001', 'T1003.004', 'T1003.001', 'T1087.001', 'T1587.001', 'T1036.005', 'T1003.003', 'T1027', 'T1057', 'T1547.001', 'T1114.002', 'T1018', 'T1036.002', 'T1021.002', 'T1003.002', 'T1569.002', 'T1213.002', 'T1082', 'T1614.001', 'T1016', 'T1049', 'T1033', 'T1007', 'T1588.002', 'T1078', 'T1071.001', 'T1059.003', 'T1543.003', 'T1023', 'T1071', 'T1022', 'T1001', 'T1053', 'T1032', 'T1035', 'T1497', 'T1060', 'T1050', 'T1003', 'T1056', 'T1132', 'T1064', 'T1036', 'T1158', 'T1066', 'T1043', 'T1107', 'T1002', 'T1134', 'T1090', 'T1124']","['Archive Collected Data', 'Archive via Utility', 'Automated Collection', 'Automated Exfiltration', 'Cloud Accounts', 'Command and Scripting Interpreter', 'DNS', 'Data from Local System', 'Deobfuscate/Decode Files or Information', 'Domain Account', 'Domain Groups', 'Exfiltration Over C2 Channel', 'Exploit Public-Facing Application', 'External Remote Services', 'File and Directory Discovery', 'Golden Ticket', 'Ingress Tool Transfer', 'Keylogging', 'LSA Secrets', 'LSASS Memory', 'Local Account', 'Malware', 'Match Legitimate Name or Location', 'NTDS', 'Obfuscated Files or Information', 'Process Discovery', 'Registry Run Keys / Startup Folder', 'Remote Email Collection', 'Remote System Discovery', 'Right-to-Left Override', 'SMB/Windows Admin Shares', 'Security Account Manager', 'Service Execution', 'Sharepoint', 'System Information Discovery', 'System Language Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'System Service Discovery', 'Tool', 'Valid Accounts', 'Web Protocols', 'Windows Command Shell', 'Windows Service']","['S0002', 'S0280', 'S0691', 'S0039', 'S0439', 'S0097', 'S0096', 'S0057', 'S0100', 'S0104', 'S0227']","['T1003', 'T1005', 'T1007', 'T1016', 'T1018', 'T1020', 'T1021', 'T1027', 'T1033', 'T1036', 'T1041', 'T1049', 'T1056', 'T1057', 'T1059', 'T1069', 'T1071', 'T1078', 'T1082', 'T1083', 'T1087', 'T1105', 'T1114', 'T1119', 'T1133', 'T1140', 'T1190', 'T1213', 'T1543', 'T1547', 'T1558', 'T1560', 'T1569', 'T1587', 'T1588', 'T1614']","['win.bs2005', 'win.exchange_tool', 'win.ketrican', 'win.ketrum', 'win.mirage', 'win.miragefox', 'win.okrum', 'win.plugx', 'win.royalcli', 'win.royal_dns', 'win.tidepool']","['ipconfig', 'mimikatz', 'miragefox', 'neoichor', 'net', 'netstat', 'okrum', 'ping', 'spwebmember', 'systeminfo', 'tasklist']","['S0280', 'S0439', 'bs2005', 'exchange tool', 'ketrican', 'ketrum', 'mirage', 'plugx', 'royal dns', 'royalcli', 'tidepool']","['S0002', 'S0039', 'S0057', 'S0096', 'S0097', 'S0100', 'S0104', 'S0227', 'S0280', 'S0439', 'S0691', 'bs2005', 'exchange tool', 'ketrican', 'ketrum', 'mirage', 'plugx', 'royal dns', 'royalcli', 'tidepool']","['S0280', 'S0439']","['S0002', 'S0039', 'S0057', 'S0096', 'S0097', 'S0100', 'S0104', 'S0227', 'S0280', 'S0439', 'S0691']","['bs2005', 'exchange tool', 'ipconfig', 'ketrican', 'ketrum', 'mimikatz', 'mirage', 'miragefox', 'neoichor', 'net', 'netstat', 'okrum', 'ping', 'plugx', 'royal dns', 'royalcli', 'spwebmember', 'systeminfo', 'tasklist', 'tidepool']"
G0059,magic hound,"['apt35', 'cobalt illusion', 'charming kitten', 'itg18', 'mint sandstorm', 'newscaster', 'phosphorus', 'ta453']",apt35,"['newscaster', 'magic hound', 'g0059', 'phosphorus', 'mint sandstorm', 'tunnelvision', 'cobalt mirage', 'charming kitten']","['T1098', 'T1098.002', 'T1071', 'T1560.001', 'T1102.002', 'T1070.003', 'T1027.010', 'T1589.001', 'T1486', 'T1005', 'T1078.001', 'T1591.001', 'T1562.002', 'T1562.004', 'T1562.001', 'T1078.002', 'T1482', 'T1583.001', 'T1584.001', 'T1189', 'T1087.003', 'T1586.002', 'T1585.002', 'T1589.002', 'T1114', 'T1573', 'T1027.013', 'T1567', 'T1190', 'T1070.004', 'T1083', 'T1589', 'T1564.003', 'T1590.005', 'T1562', 'T1105', 'T1016.001', 'T1056.001', 'T1003.001', 'T1570', 'T1136.001', 'T1114.001', 'T1204.002', 'T1204.001', 'T1036.004', 'T1036.005', 'T1112', 'T1046', 'T1571', 'T1059.001', 'T1057', 'T1572', 'T1090', 'T1547.001', 'T1021.001', 'T1114.002', 'T1018', 'T1218.011', 'T1053.005', 'T1113', 'T1585.001', 'T1592.002', 'T1566.002', 'T1598.003', 'T1566.003', 'T1082', 'T1016', 'T1049', 'T1033', 'T1588.002', 'T1059.005', 'T1595.002', 'T1071.001', 'T1583.006', 'T1505.003', 'T1016.002', 'T1059.003', 'T1047', 'T1543.003', 'T1078', 'T1003']","['Account Manipulation', 'Additional Email Delegate Permissions', 'Application Layer Protocol', 'Archive via Utility', 'Bidirectional Communication', 'Clear Command History', 'Command Obfuscation', 'Credentials', 'Data Encrypted for Impact', 'Data from Local System', 'Default Accounts', 'Determine Physical Locations', 'Disable Windows Event Logging', 'Disable or Modify System Firewall', 'Disable or Modify Tools', 'Domain Accounts', 'Domain Trust Discovery', 'Domains', 'Drive-by Compromise', 'Email Account', 'Email Accounts', 'Email Addresses', 'Email Collection', 'Encrypted Channel', 'Encrypted/Encoded File', 'Exfiltration Over Web Service', 'Exploit Public-Facing Application', 'File Deletion', 'File and Directory Discovery', 'Gather Victim Identity Information', 'Hidden Window', 'IP Addresses', 'Impair Defenses', 'Ingress Tool Transfer', 'Internet Connection Discovery', 'Keylogging', 'LSASS Memory', 'Lateral Tool Transfer', 'Local Account', 'Local Email Collection', 'Malicious File', 'Malicious Link', 'Masquerade Task or Service', 'Match Legitimate Name or Location', 'Modify Registry', 'Network Service Discovery', 'Non-Standard Port', 'PowerShell', 'Process Discovery', 'Protocol Tunneling', 'Proxy', 'Registry Run Keys / Startup Folder', 'Remote Desktop Protocol', 'Remote Email Collection', 'Remote System Discovery', 'Rundll32', 'Scheduled Task', 'Screen Capture', 'Social Media Accounts', 'Software', 'Spearphishing Link', 'Spearphishing via Service', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'Tool', 'Visual Basic', 'Vulnerability Scanning', 'Web Protocols', 'Web Services', 'Web Shell', 'Wi-Fi Discovery', 'Windows Command Shell', 'Windows Management Instrumentation']","['S0674', 'S0186', 'S0357', 'S0002', 'S0039', 'S0097', 'S1012', 'S0029', 'S0192', 'S0096', 'S0100', 'S0108']","['T1016', 'T1027', 'T1074', 'T1078', 'T1082', 'T1111', 'T1547.004', 'T1566', 'T1567', 'T1583']","['win.drokbk', 'win.pupy', 'win.syskit']","['charmpower', 'downpaper', 'impacket', 'ipconfig', 'mimikatz', 'net', 'netsh', 'ping', 'powerless', 'psexec', 'pupy', 'systeminfo']","['S0192', 'drokbk', 'syskit']","['S0002', 'S0029', 'S0039', 'S0096', 'S0097', 'S0100', 'S0108', 'S0186', 'S0192', 'S0357', 'S0674', 'S1012', 'drokbk', 'syskit']",['S0192'],"['S0002', 'S0029', 'S0039', 'S0096', 'S0097', 'S0100', 'S0108', 'S0186', 'S0192', 'S0357', 'S0674', 'S1012']","['charmpower', 'downpaper', 'drokbk', 'impacket', 'ipconfig', 'mimikatz', 'net', 'netsh', 'ping', 'powerless', 'psexec', 'pupy', 'syskit', 'systeminfo']"
G0138,andariel,"['onyx sleet', 'plutonium', 'silent chollima']",lazarus,"['operation darkseoul', 'dark seoul', 'hidden cobra', 'hastati', 'andariel', 'unit 121', 'bureau 121', 'newromanic cyber army', 'bluenoroff', 'subgroup: bluenoroff', 'group 77', 'labyrinth chollima', 'operation troy', 'operation ghostsecret', 'operation applejeus', 'apt38', 'apt 38', 'stardust chollima', 'whois hacking', 'zinc', 'appleworm', 'nickel academy', 'apt-c-26', 'nickel gladstone', 'covellite', 'atk3', 'g0032', 'atk117', 'g0082', 'citrine sleet', 'dev-0139', 'dev-1222', 'diamond sleet', 'zinc', 'sapphire sleet', 'copernicium', 'ta404', 'lazarus', 'beagleboyz', 'lazarus', 'genie spider']","['T1005', 'T1189', 'T1203', 'T1590.005', 'T1105', 'T1204.002', 'T1588.001', 'T1057', 'T1592.002', 'T1566.001', 'T1027.003', 'T1049', 'T1497.001', 'T1071.001', 'T1059.007', 'T1041', 'T1583.003', 'T1584.006', 'T1036.005', 'T1095', 'T1113', 'T1573.001', 'T1486']","['Data from Local System', 'Drive-by Compromise', 'Exploitation for Client Execution', 'IP Addresses', 'Ingress Tool Transfer', 'Malicious File', 'Malware', 'Process Discovery', 'Software', 'Spearphishing Attachment', 'Steganography', 'System Network Connections Discovery']","['S0433', 'S0032']","['T1005', 'T1027.003', 'T1033', 'T1036.005', 'T1041', 'T1049', 'T1053.005', 'T1056.001', 'T1057', 'T1059', 'T1059.003', 'T1059.007', 'T1059.008', 'T1071.001', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1095', 'T1113', 'T1119', 'T1132', 'T1132.001', 'T1134.002', 'T1140', 'T1189', 'T1203', 'T1204.002', 'T1218.005', 'T1486', 'T1497.001', 'T1547.001', 'T1560.002', 'T1566.001', 'T1573.001', 'T1583.003', 'T1584.004', 'T1584.006', 'T1587.001', 'T1587.004', 'T1590.005', 'T1608.004']",['win.hazy_load'],"['gh0st rat', 'rifdoor']",['hazy load'],"['S0032', 'S0433', 'hazy load']",[],"['S0032', 'S0433']","['gh0st rat', 'hazy load', 'rifdoor']"
G0082,apt38,"['beagleboyz', 'bluenoroff', 'copernicium', 'nickel gladstone', 'sapphire sleet', 'stardust chollima']",lazarus,"['operation darkseoul', 'dark seoul', 'hidden cobra', 'hastati', 'andariel', 'unit 121', 'bureau 121', 'newromanic cyber army', 'bluenoroff', 'subgroup: bluenoroff', 'group 77', 'labyrinth chollima', 'operation troy', 'operation ghostsecret', 'operation applejeus', 'apt38', 'apt 38', 'stardust chollima', 'whois hacking', 'zinc', 'appleworm', 'nickel academy', 'apt-c-26', 'nickel gladstone', 'covellite', 'atk3', 'g0032', 'atk117', 'g0082', 'citrine sleet', 'dev-0139', 'dev-1222', 'diamond sleet', 'zinc', 'sapphire sleet', 'copernicium', 'ta404', 'lazarus', 'beagleboyz', 'lazarus', 'genie spider']","['T1217', 'T1110', 'T1070.001', 'T1115', 'T1218.001', 'T1053.003', 'T1485', 'T1486', 'T1005', 'T1562.004', 'T1561.002', 'T1189', 'T1070.004', 'T1083', 'T1562.003', 'T1105', 'T1056.001', 'T1204.002', 'T1112', 'T1106', 'T1135', 'T1059.001', 'T1057', 'T1218.011', 'T1565.003', 'T1053.005', 'T1518.001', 'T1569.002', 'T1027.002', 'T1566.001', 'T1565.001', 'T1082', 'T1049', 'T1033', 'T1529', 'T1070.006', 'T1588.002', 'T1565.002', 'T1059.005', 'T1071.001', 'T1505.003', 'T1059.003', 'T1543.003', 'T1562.006', 'T1071', 'T1012', 'T1070.003', 'T1041', 'T1573', 'T1053', 'T1078', 'T1056.004', 'T1059', 'T1113', 'T1202', 'T1016', 'T1548.003', 'T1027.005', 'T1102', 'T1087', 'T1056', 'T1101', 'T1119', 'T1010', 'T1489', 'T1129', 'T1574.001', 'T1199', 'T1036', 'T1055', 'T1140', 'T1560', 'T1132.001', 'T1020', 'T1562.001', 'T1203', 'T1553.002', 'T1204', 'T1552.004', 'T1098', 'T1090', 'T1133', 'T1014', 'T1027', 'T1547.001', 'T1190', 'T1053.004', 'T1021', 'T1021.002', 'T1095', 'T1219', 'T1021.001']","['Browser Information Discovery', 'Brute Force', 'Clear Windows Event Logs', 'Clipboard Data', 'Compiled HTML File', 'Cron', 'Data Destruction', 'Data Encrypted for Impact', 'Data from Local System', 'Disable or Modify System Firewall', 'Disk Structure Wipe', 'Drive-by Compromise', 'File Deletion', 'File and Directory Discovery', 'Impair Command History Logging', 'Ingress Tool Transfer', 'Keylogging', 'Malicious File', 'Modify Registry', 'Native API', 'Network Share Discovery', 'PowerShell', 'Process Discovery', 'Rundll32', 'Runtime Data Manipulation', 'Scheduled Task', 'Security Software Discovery', 'Service Execution', 'Software Packing', 'Spearphishing Attachment', 'Stored Data Manipulation', 'System Information Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'System Shutdown/Reboot', 'Timestomp', 'Tool', 'Transmitted Data Manipulation', 'Visual Basic', 'Web Protocols', 'Web Shell', 'Windows Command Shell', 'Windows Service']","['S0334', 'S0593', 'S0376', 'S0607', 'S0002', 'S0039']",[],[],"['darkcomet', 'eccentricbandwagon', 'hoplight', 'killdisk', 'mimikatz', 'net']",[],"['S0002', 'S0039', 'S0334', 'S0376', 'S0593', 'S0607']",[],"['S0002', 'S0039', 'S0334', 'S0376', 'S0593', 'S0607']","['darkcomet', 'eccentricbandwagon', 'hoplight', 'killdisk', 'mimikatz', 'net']"
G1002,bitter,['t-apt-17'],hazy tiger,"['bitter', 't-apt-17', 'apt-c-08', 'orange yali', 'ta397']","['T1583.001', 'T1559.002', 'T1568', 'T1573', 'T1027.013', 'T1203', 'T1068', 'T1105', 'T1204.002', 'T1036.004', 'T1095', 'T1053.005', 'T1566.001', 'T1588.002', 'T1608.001', 'T1071.001', 'T1660']","['Domains', 'Dynamic Data Exchange', 'Dynamic Resolution', 'Encrypted Channel', 'Encrypted/Encoded File', 'Exploitation for Client Execution', 'Exploitation for Privilege Escalation', 'Ingress Tool Transfer', 'Malicious File', 'Masquerade Task or Service', 'Non-Application Layer Protocol', 'Scheduled Task', 'Spearphishing Attachment', 'Tool', 'Upload Malware', 'Web Protocols', 'Phishing']",['S1013'],"['T1027', 'T1030', 'T1041', 'T1082', 'T1083', 'T1105', 'T1140', 'T1203', 'T1412', 'T1429', 'T1432', 'T1433', 'T1437', 'T1444', 'T1476', 'T1485', 'T1486', 'T1517', 'T1533', 'T1566.001', 'T1571', 'T1592.002', 'T1608.001']","['apk.dracarys', 'win.almondrat', 'win.miya_rat', 'win.wm_rat', 'win.zxxz']",['zxxz'],"['S1013', 'almond rat', 'dracarys', 'miya rat', 'wm rat']","['S1013', 'almond rat', 'dracarys', 'miya rat', 'wm rat']",['S1013'],['S1013'],"['almond rat', 'dracarys', 'miya rat', 'wm rat', 'zxxz']"
G0139,teamtnt,[],teamtnt,['adept libra'],"['T1071', 'T1070.003', 'T1070.002', 'T1059.009', 'T1552.005', 'T1609', 'T1613', 'T1552.001', 'T1140', 'T1610', 'T1562.004', 'T1562.001', 'T1583.001', 'T1027.013', 'T1611', 'T1048', 'T1133', 'T1070.004', 'T1083', 'T1105', 'T1222.002', 'T1136.001', 'T1074.001', 'T1204.003', 'T1587.001', 'T1036', 'T1036.005', 'T1046', 'T1120', 'T1059.001', 'T1552.004', 'T1057', 'T1547.001', 'T1219', 'T1496', 'T1014', 'T1021.004', 'T1098.004', 'T1595.001', 'T1518.001', 'T1027.002', 'T1082', 'T1016', 'T1049', 'T1007', 'T1569', 'T1543.002', 'T1059.004', 'T1608.001', 'T1595.002', 'T1071.001', 'T1102', 'T1059.003', 'T1543.003', 'T1562', 'T1547', 'T1078.004', 'T1480', 'T1592.002', 'T1562.008', 'T1552.002', 'T1525']","['Application Layer Protocol', 'Clear Command History', 'Clear Linux or Mac System Logs', 'Cloud API', 'Cloud Instance Metadata API', 'Container Administration Command', 'Container and Resource Discovery', 'Credentials In Files', 'Deobfuscate/Decode Files or Information', 'Deploy Container', 'Disable or Modify System Firewall', 'Disable or Modify Tools', 'Domains', 'Encrypted/Encoded File', 'Escape to Host', 'Exfiltration Over Alternative Protocol', 'External Remote Services', 'File Deletion', 'File and Directory Discovery', 'Ingress Tool Transfer', 'Linux and Mac File and Directory Permissions Modification', 'Local Account', 'Local Data Staging', 'Malicious Image', 'Malware', 'Masquerading', 'Match Legitimate Name or Location', 'Network Service Discovery', 'Peripheral Device Discovery', 'PowerShell', 'Private Keys', 'Process Discovery', 'Registry Run Keys / Startup Folder', 'Remote Access Software', 'Resource Hijacking', 'Rootkit', 'SSH', 'SSH Authorized Keys', 'Scanning IP Blocks', 'Security Software Discovery', 'Software Packing', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Service Discovery', 'System Services', 'Systemd Service', 'Unix Shell', 'Upload Malware', 'Vulnerability Scanning', 'Web Protocols', 'Web Service', 'Windows Command Shell', 'Windows Service']","['S0601', 'S0349', 'S0179', 'S0683']",['T1055'],[],"['hildegard', 'lazagne', 'mimipenguin', 'peirates']",[],"['S0179', 'S0349', 'S0601', 'S0683']",[],"['S0179', 'S0349', 'S0601', 'S0683']","['hildegard', 'lazagne', 'mimipenguin', 'peirates']"
